_id,courseId,lecturerId,qrCodeData,generatedAt,expiresAt,createdAt,updatedAt,__v
6822f0b2cc16127b5f7abdef,6822f072cc16127b5f7abdbc,6820dbadd81bedfd1edbb97c,"{""courseId"":""6822f072cc16127b5f7abdbc"",""courseCode"":""ITP131"",""courseName"":""Integrative 1"",""generatedAt"":""2025-05-13T15:11:46.843Z"",""expiresAt"":""2025-05-13T16:11:46.843Z""}",2025-05-13T15:11:46.843Z,2025-05-13T16:11:46.843Z,2025-05-13T07:11:46.845Z,2025-05-13T07:11:46.845Z,0
68240a7b192aebca8a95c74b,6822f072cc16127b5f7abdbc,6820dbadd81bedfd1edbb97c,"{""courseId"":""6822f072cc16127b5f7abdbc"",""courseCode"":""ITP131"",""courseName"":""Integrative 1"",""generatedAt"":""2025-05-14T11:14:03.085Z"",""expiresAt"":""2025-05-14T12:14:03.085Z""}",2025-05-14T11:14:03.085Z,2025-05-14T12:14:03.085Z,2025-05-14T03:14:03.087Z,2025-05-14T03:14:03.087Z,0
